Unnamed: 0,code,name,description,material,size,fragm,cultlayer,execorg,survyear,row_id,image_file,image_abs,image_exists,artifact_id,group_key,name_raw,name_norm,material_raw,material_norm,fragm_raw,fragm_norm,raw_label,norm_label,label_is_missing,label_is_uncertain,group_has_conflict,is_very_rare,quality_flag,reason_flag
40,М102-2012-1-0494,Изразец,Изразца красноглиняного с белой поливой и кобальтовой (растительной либо сюжетной ?) росписью фр-т,Керамика,"7+ х 3,5+ х 1,1+ см",Фрагмент,Пестрая мешаная супесь,ИИМК РАН,2012.0,0,dataset/М102-2012-1-0494_orig.jpg,cu_data/dataset/М102-2012-1-0494_orig.jpg,True,М102-2012-1-0494,М102-2012-1,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
59,М102-2012-1-0585,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,Фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,3,dataset/М102-2012-1-0585_orig.jpg,cu_data/dataset/М102-2012-1-0585_orig.jpg,True,М102-2012-1-0585,М102-2012-1,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
63,М102-2012-1-0603,Изразец,Изразца (перемычки?) красноглиняного с белой поливой и голубой росписью фр-т,Керамика,"3,8+ х 2,8 х 5,1+ см",Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,4,dataset/М102-2012-1-0603_orig.jpg,cu_data/dataset/М102-2012-1-0603_orig.jpg,True,М102-2012-1-0603,М102-2012-1,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
85,М102-2012-1-0752,Тарелка,"Сосуда (тарелки, блюда ?) красноглиняной с белой поливой снаружи и внутри с росписью (синие цветы с листьями в центре сосуда) донца фр-т",Керамика,D ок 19 см,Фрагмент,Темно-серая сильногумусированная супесь (низ пестрой),ИИМК РАН,2012.0,7,dataset/М102-2012-1-0752_orig.jpg,cu_data/dataset/М102-2012-1-0752_orig.jpg,True,М102-2012-1-0752,М102-2012-1,Тарелка,тарелка,Керамика,керамика,Фрагмент,фрагмент,Тарелка,тарелка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
103,М102-2012-1-0827,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,Фаянс,D19 см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,8,dataset/М102-2012-1-0827_orig.jpg,cu_data/dataset/М102-2012-1-0827_orig.jpg,True,М102-2012-1-0827,М102-2012-1,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
105,М102-2012-1-0833,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,Фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,9,dataset/М102-2012-1-0833_orig.jpg,cu_data/dataset/М102-2012-1-0833_orig.jpg,True,М102-2012-1-0833,М102-2012-1,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
110,М102-2012-1-0843,Тарелка,Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи края фр-т,Фаянс,D? см,Фрагмент,Дерн со щепой,ИИМК РАН,2012.0,11,dataset/М102-2012-1-0843_orig.jpg,cu_data/dataset/М102-2012-1-0843_orig.jpg,True,М102-2012-1-0843,М102-2012-1,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
152,М102-2012-2-0538,Блюдце,Блюдца (?) фарфорового с полихромной растительной росписью и золотой окантовкой края фр-т,Фарфор,D15 см,Фрагмент,Дерн,ИИМК РАН,2012.0,17,dataset/М102-2012-2-0538_orig.jpg,cu_data/dataset/М102-2012-2-0538_orig.jpg,True,М102-2012-2-0538,М102-2012-2,Блюдце,блюдце,Фарфор,фарфор,Фрагмент,фрагмент,Блюдце,блюдце,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
187,М102-2012-2-1068,Плитка,Плитки напольной из каменной массы (?) с белой поливой края фр-т,Каменная масса,"10,5+ х 6,5+ х 1 см",Фрагмент,Битый кирпич,ИИМК РАН,2012.0,20,dataset/М102-2012-2-1068_orig.jpg,cu_data/dataset/М102-2012-2-1068_orig.jpg,True,М102-2012-2-1068,М102-2012-2,Плитка,плитка,Каменная масса,каменная масса,Фрагмент,фрагмент,Плитка,плитка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
194,М102-2012-2-1095,Изразец,Изразца(?) белоглиняного с белой поливой фр-т,Керамика,"5+ х 5,5 х 2,5+ см",Фрагмент,Битый кирпич,ИИМК РАН,2012.0,22,dataset/М102-2012-2-1095_orig.jpg,cu_data/dataset/М102-2012-2-1095_orig.jpg,True,М102-2012-2-1095,М102-2012-2,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
216,М102-2012-2-1166,Блюдце,Блюдца (?) фарфорового с белой поливой внутри и снаружи донца клейменого фр-т,Фарфор,D9 см,Фрагмент,,ИИМК РАН,2012.0,26,dataset/М102-2012-2-1166_orig.jpg,cu_data/dataset/М102-2012-2-1166_orig.jpg,True,М102-2012-2-1166,М102-2012-2,Блюдце,блюдце,Фарфор,фарфор,Фрагмент,фрагмент,Блюдце,блюдце,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
279,М102-2012-2-1359,Блюдце,Сосуда (блюдца?) фаянсового с прозрачной поливой внутри и снаружи края фр-т,Фаянс,D12 см,Фрагмент,Слой под цементным полом (мусор XIX века),ИИМК РАН,2012.0,38,dataset/М102-2012-2-1359_orig.jpg,cu_data/dataset/М102-2012-2-1359_orig.jpg,True,М102-2012-2-1359,М102-2012-2,Блюдце,блюдце,Фаянс,фаянс,Фрагмент,фрагмент,Блюдце,блюдце,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
309,М102-2012-2-1423,Миска (?),Сосуда (миски ?) красноглиняного со следами желто-зеленой поливы внутри венчика фр-т,Керамика,D24 см,Фрагмент,Светло-серая мешаная супесь,ИИМК РАН,2012.0,43,dataset/М102-2012-2-1423_orig.jpg,cu_data/dataset/М102-2012-2-1423_orig.jpg,True,М102-2012-2-1423,М102-2012-2,Миска (?),миска,Керамика,керамика,Фрагмент,фрагмент,Миска (?),миска,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
1127,Кроп-2013-Тр2-053,Тарелка,"Сосуда (тарелки ?) фаянсового с белой поливой внутри и снаружи донца с фрагментом клейма подглазурного зеленого круглого с изображением чашки в центре и надписью по кругу "".. СФСР М.И. КАЛИНИНА…""  фр-т",Фаянс,Д=12 см,Фрагмент,,,2013.0,121,dataset/Кроп-2013-Тр2-053_orig.jpg,cu_data/dataset/Кроп-2013-Тр2-053_orig.jpg,True,Кроп-2013-Тр2-053,Кроп-2013-Тр2,Тарелка,тарелка,Фаянс,фаянс,Фрагмент,фрагмент,Тарелка,тарелка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
2433,КБ-2014-Р1-0782,Блюдце,Блюдце фарфоровое с золотыми полосками по краю растительно-геометрическим рисунком внутри и клеймом снаружи в виде герба РСФСР и набора букв (?),Фарфор,D 15 см,Целый,Мешанная коричневая супесь с включениями (слоистые подсыпки)/ гориз.1,ИИМК РАН,2014.0,283,dataset/КБ-2014-Р1-0782_orig.jpg,cu_data/dataset/КБ-2014-Р1-0782_orig.jpg,True,КБ-2014-Р1-0782,КБ-2014-Р1,Блюдце,блюдце,Фарфор,фарфор,Целый,целый,Блюдце,блюдце,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
2592,КБ-2014-Р2-0056,Блюдце,Блюдце фаянсовое с голубоватой (?) поливой и растительным и геометрическим синим орнаментом профиль,Фаянс,"Двен=16; Ддон=7,8; выс=2,5 см",Фрагмент,Слой 3/ гориз.2,ИИМК РАН,2014.0,298,dataset/КБ-2014-Р2-0056_orig.jpg,cu_data/dataset/КБ-2014-Р2-0056_orig.jpg,True,КБ-2014-Р2-0056,КБ-2014-Р2,Блюдце,блюдце,Фаянс,фаянс,Фрагмент,фрагмент,Блюдце,блюдце,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
2874,КБ-2014-Р2-0485,Миска,Миски (?) с ручкой белоглиняного с нагаром и частичной зеленой поливой снаружи и внутри профиль,Керамика,"Двен=22; Ддон=13; выс=5,5 см",Фрагмент,Слой 5/ гориз.3,ИИМК РАН,2014.0,332,dataset/КБ-2014-Р2-0485_orig.jpg,cu_data/dataset/КБ-2014-Р2-0485_orig.jpg,True,КБ-2014-Р2-0485,КБ-2014-Р2,Миска,миска,Керамика,керамика,Фрагмент,фрагмент,Миска,миска,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
3006,КБ-2014-Р2-0643,Крышка,Сосуда парфюмерного (?) прямоугольного прозрачного стекла крышка с рельефной надписью сверху фр-ая,Стекло,"7 х 4,6 х 1,5 см",Фрагмент,,ИИМК РАН,2014.0,352,dataset/КБ-2014-Р2-0643_orig.jpg,cu_data/dataset/КБ-2014-Р2-0643_orig.jpg,True,КБ-2014-Р2-0643,КБ-2014-Р2,Крышка,крышка,Стекло,стекло,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
3024,КБ-2014-Р2-0668,Блюдце,Сосуда (блюдца ?) фарфорового с золотым линейным орнаментом внутри донца с клеймом фр-т,Фарфор,,Фрагмент,Слой 4,ИИМК РАН,2014.0,356,dataset/КБ-2014-Р2-0668_orig.jpg,cu_data/dataset/КБ-2014-Р2-0668_orig.jpg,True,КБ-2014-Р2-0668,КБ-2014-Р2,Блюдце,блюдце,Фарфор,фарфор,Фрагмент,фрагмент,Блюдце,блюдце,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
3056,КБ-2014-Р2-0701,Изразец,Изразца (?) красноглиняного в виде колонны на постаменте фр-т,Керамика,"7,5+ х 6+ х 5+ см",Фрагмент,Слой 3/ гориз.2,ИИМК РАН,2014.0,357,dataset/КБ-2014-Р2-0701_orig.jpg,cu_data/dataset/КБ-2014-Р2-0701_orig.jpg,True,КБ-2014-Р2-0701,КБ-2014-Р2,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
3107,КБ-2014-Р2-0755,Изразец,Изразец (?) полуколонна красноглиняный с рельефным орнаментом фр-ый,Керамика,24+ х 8+ х 2 см,Фрагмент,Слой 2/ гориз.2,ИИМК РАН,2014.0,361,dataset/КБ-2014-Р2-0755_orig.jpg,cu_data/dataset/КБ-2014-Р2-0755_orig.jpg,True,КБ-2014-Р2-0755,КБ-2014-Р2,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
14446,Т-12-Р2-3013,Крышка,Предмета деревянного (крышка от бочки?) фр-т,Дерево,D 39 см,Фрагмент,Слой 3 (строительный мусор XIX в.)/ гориз.2,,,1162,dataset/Т-12-Р2-3013_orig.jpg,cu_data/dataset/Т-12-Р2-3013_orig.jpg,True,Т-12-Р2-3013,Т-12-Р2,Крышка,крышка,Дерево,дерево,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
14447,Т-12-Р2-3015,Крышка,Предмета деревянного со сквозным отверстием (крышка от бочки?) фр-т,Дерево,54х17 см,Фрагмент,Слой 3 (строительный мусор XIX в.)/ гориз.2,,,1163,dataset/Т-12-Р2-3015_orig.jpg,cu_data/dataset/Т-12-Р2-3015_orig.jpg,True,Т-12-Р2-3015,Т-12-Р2,Крышка,крышка,Дерево,дерево,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
14448,Т-12-Р2-3017,Крышка,Предмета деревянного (крышка от бочки?) фр-т,Дерево,38х14 см,Фрагмент,Слой 3 (строительный мусор XIX в.)/ гориз.2,,,1164,dataset/Т-12-Р2-3017_orig.jpg,cu_data/dataset/Т-12-Р2-3017_orig.jpg,True,Т-12-Р2-3017,Т-12-Р2,Крышка,крышка,Дерево,дерево,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
14449,Т-12-Р2-3018,Крышка,Предмета деревянного со сквозным отверстием (крышка от бочки?) фр-т,Дерево,58х21 см,Фрагмент,Слой 3 (строительный мусор XIX в.)/ гориз.2,,,1165,dataset/Т-12-Р2-3018_orig.jpg,cu_data/dataset/Т-12-Р2-3018_orig.jpg,True,Т-12-Р2-3018,Т-12-Р2,Крышка,крышка,Дерево,дерево,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
14450,Т-12-Р2-3023,Крышка,Предмета деревянного (крышка от бочки?) фр-т,Дерево,43х18 см,Фрагмент,Слой 3 (строительный мусор XIX в.)/ гориз.2,,,1166,dataset/Т-12-Р2-3023_orig.jpg,cu_data/dataset/Т-12-Р2-3023_orig.jpg,True,Т-12-Р2-3023,Т-12-Р2,Крышка,крышка,Дерево,дерево,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15607,ВО-1л58-2017-0020,Изразец,Изразца (?) белоглиняного с белой поливой внутри и снаружи рельефного с голубой росписью фр-т,Керамика,10+ х 5+ х 1 см,Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,1237,dataset/ВО-1л58-2017-0020_orig.jpg,cu_data/dataset/ВО-1л58-2017-0020_orig.jpg,True,ВО-1л58-2017-0020,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15608,ВО-1л58-2017-0022,Плитка,Плитки (напольной ?) (метлахской ?) серо-бежевой фр-т,Керамика,"14+ х 12,5+ х 1,5 см",Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,1238,dataset/ВО-1л58-2017-0022_orig.jpg,cu_data/dataset/ВО-1л58-2017-0022_orig.jpg,True,ВО-1л58-2017-0022,ВО-1л58-2017,Плитка,плитка,Керамика,керамика,Фрагмент,фрагмент,Плитка,плитка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15639,ВО-1л58-2017-0058,Крышка,"Сосуда фаянсового с бежевой поливой снаружи и внутри ручка от крышки (либо часть рельефного декора ?) круглая, орнаментированная рельефными лепестками",Фаянс,Д=5 см,Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,1245,dataset/ВО-1л58-2017-0058_orig.jpg,cu_data/dataset/ВО-1л58-2017-0058_orig.jpg,True,ВО-1л58-2017-0058,ВО-1л58-2017,Крышка,крышка,Фаянс,фаянс,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
15658,ВО-1л58-2017-0077,Крышка,Чайника/сахарницы (?) фарфорового с белой поливой внутри и снаружи  с золотой полосой крышки фр-т,Фарфор,"Д=6,5 см",Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,1251,dataset/ВО-1л58-2017-0077_orig.jpg,cu_data/dataset/ВО-1л58-2017-0077_orig.jpg,True,ВО-1л58-2017-0077,ВО-1л58-2017,Крышка,крышка,Фарфор,фарфор,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15691,ВО-1л58-2017-0124,Миска (?),Сосуда (миски ?) красноглиняной  с прозрачной бесцветной поливой внутри венчика фр-т,Керамика,Д=18 см,Фрагмент,Техноген - мусор под асфальтом,ИИМК РАН,2017.0,1262,dataset/ВО-1л58-2017-0124_orig.jpg,cu_data/dataset/ВО-1л58-2017-0124_orig.jpg,True,ВО-1л58-2017-0124,ВО-1л58-2017,Миска (?),миска,Керамика,керамика,Фрагмент,фрагмент,Миска (?),миска,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15922,ВО-1л58-2017-0441,Миска (?),Сосуда (миски ?) красноглиняного венчика фр-т,Керамика,Д=24 см,Фрагмент,Бурая супесь с раствором и кирп. крошкой (между стенкой и лотком),ИИМК РАН,2017.0,1285,dataset/ВО-1л58-2017-0441_orig.jpg,cu_data/dataset/ВО-1л58-2017-0441_orig.jpg,True,ВО-1л58-2017-0441,ВО-1л58-2017,Миска (?),миска,Керамика,керамика,Фрагмент,фрагмент,Миска (?),миска,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
15935,ВО-1л58-2017-0480,Крышка,"Чайника фарфорового с белой поливой внутри и снаружи с золоченой полосой крышка с отбитой (вероятно фигурной) ручкой и отверстием, смещенным к краю",Фарфор,"Д=8,5 см",Фрагмент,"Заполнение колодца, крупный песок",ИИМК РАН,2017.0,1289,dataset/ВО-1л58-2017-0480_orig.jpg,cu_data/dataset/ВО-1л58-2017-0480_orig.jpg,True,ВО-1л58-2017-0480,ВО-1л58-2017,Крышка,крышка,Фарфор,фарфор,Фрагмент,фрагмент,Крышка,крышка,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16028,ВО-1л58-2017-0631,Изразец,"Изразца (ножки ?) красноглиняного с белой поливой фр-т, румпа утрачена",Керамика,,Фрагмент,Заполнение траншеи участка,ИИМК РАН,2017.0,1317,dataset/ВО-1л58-2017-0631_orig.jpg,cu_data/dataset/ВО-1л58-2017-0631_orig.jpg,True,ВО-1л58-2017-0631,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16029,ВО-1л58-2017-0632,Изразец,"Изразца (поясного ?) красноглиняного с белой поливой фр-т, румпа отбита",Керамика,"20,5+ х 9+ х 1 см",Фрагмент,Заполнение траншеи участка,ИИМК РАН,2017.0,1318,dataset/ВО-1л58-2017-0632_orig.jpg,cu_data/dataset/ВО-1л58-2017-0632_orig.jpg,True,ВО-1л58-2017-0632,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16092,ВО-1л58-2017-0717,Изразец,"Изразца (поясного ?) красноглиняного с белой поливой бирюзовой и лиловой росписью фр-т, румпа утрачена",Керамика,"12,5+ х 10+ х 1,5 см",Фрагмент,Бурая супесь с раствором и кирпичами на дер-ом настиле и выше,ИИМК РАН,2017.0,1330,dataset/ВО-1л58-2017-0717_orig.jpg,cu_data/dataset/ВО-1л58-2017-0717_orig.jpg,True,ВО-1л58-2017-0717,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16114,ВО-1л58-2017-0753,Миска (?),Сосуда (миски ?) фаянсовой  с бежевой поливой внутри и снаружи венчика фр-т,Фаянс,Д=15 см,Фрагмент,"Супесь, песок со строит. мусором (зачистка по дерев. полу)",ИИМК РАН,2017.0,1342,dataset/ВО-1л58-2017-0753_orig.jpg,cu_data/dataset/ВО-1л58-2017-0753_orig.jpg,True,ВО-1л58-2017-0753,ВО-1л58-2017,Миска (?),миска,Фаянс,фаянс,Фрагмент,фрагмент,Миска (?),миска,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16119,ВО-1л58-2017-0767,Изразец,"Изразец-перемычка белоглиняный со следами белой поливы и синей (?) росписи, с отверстием в румпе",Керамика,"14,5 х 3 х 1,5; выс.рум=3,5 см",Целый,"Заполнение большого помещ. ""кирпичн. дома"" - песок супесь со строит мусором",ИИМК РАН,2017.0,1344,dataset/ВО-1л58-2017-0767_orig.jpg,cu_data/dataset/ВО-1л58-2017-0767_orig.jpg,True,ВО-1л58-2017-0767,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Целый,целый,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
16120,ВО-1л58-2017-0768,Изразец,"Изразец-перемычка белоглиняный со следами белой поливы и синей (?) росписи, с отверстием в румпе, фрагментированный",Керамика,"14,2 х 3 х 1,5; выс.рум=3,5 см",Фрагмент,"Заполнение большого помещ. ""кирпичн. дома"" - песок супесь со строит мусором",ИИМК РАН,2017.0,1345,dataset/ВО-1л58-2017-0768_orig.jpg,cu_data/dataset/ВО-1л58-2017-0768_orig.jpg,True,ВО-1л58-2017-0768,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,uncertain_text|group_conflict
16181,ВО-1л58-2017-0868,Изразец,"Изразца красноглиняного (полочки ?) с белой поливой фр-т,",Керамика,16+ х 11+ х 1 см,Фрагмент,Разборка наброски досок и расчистка по плотной щепе под ними,ИИМК РАН,2017.0,1353,dataset/ВО-1л58-2017-0868_orig.jpg,cu_data/dataset/ВО-1л58-2017-0868_orig.jpg,True,ВО-1л58-2017-0868,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16243,ВО-1л58-2017-1005,Изразец,"Изразца (карнизного пояса-каблучка углового?) красноглиняного с белой поливой фр-т, румпа отбита",Керамика,12+ х 13+ х 1 см,Фрагмент,Бурая супесь с битым кирпич. и изразцами под деревом,ИИМК РАН,2017.0,1368,dataset/ВО-1л58-2017-1005_orig.jpg,cu_data/dataset/ВО-1л58-2017-1005_orig.jpg,True,ВО-1л58-2017-1005,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16244,ВО-1л58-2017-1006,Изразец,"Изразца (карнизного пояса-каблучка углового?) красноглиняного с белой поливой фр-т, румпа отбита",Керамика,"20+ х 11,5+ х 1 см",Фрагмент,Бурая супесь с битым кирпич. и изразцами под деревом,ИИМК РАН,2017.0,1369,dataset/ВО-1л58-2017-1006_orig.jpg,cu_data/dataset/ВО-1л58-2017-1006_orig.jpg,True,ВО-1л58-2017-1006,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16245,ВО-1л58-2017-1007,Изразец,Изразца красноглиняного (вертикального пояса ?) со скошенными краями с белой поливой фр-т,Керамика,22+ х 13+ х 1 см,Фрагмент,Бурая супесь с битым кирпич. и изразцами под деревом,ИИМК РАН,2017.0,1370,dataset/ВО-1л58-2017-1007_orig.jpg,cu_data/dataset/ВО-1л58-2017-1007_orig.jpg,True,ВО-1л58-2017-1007,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
16246,ВО-1л58-2017-1008,Изразец,"Изразца (карнизного вертикального пояса-каблучка углового?) красноглиняного с белой поливой фр-т, румпа утрачена",Керамика,16+ х 10+ х 1 см,Фрагмент,Бурая супесь с битым кирпич. и изразцами под деревом,ИИМК РАН,2017.0,1371,dataset/ВО-1л58-2017-1008_orig.jpg,cu_data/dataset/ВО-1л58-2017-1008_orig.jpg,True,ВО-1л58-2017-1008,ВО-1л58-2017,Изразец,изразец,Керамика,керамика,Фрагмент,фрагмент,Изразец,изразец,False,True,True,False,uncertain_label|group_conflict,abbr_in_description|uncertain_text|group_conflict
